Unit,County,Agency FDID,Incident ,Incident Date,Exposure,Fire Name,Incident Type ,Property Use,Address/Location,Latitude,Longitude,Cause,Total Loss,Acres Burned,FS Injury,FS Death,Civ Injury,Civ Death
CZU,San Mateo,41045,0000002, 01/01/2019,0,CAPISTRANO RD / PROSPECT,142,931,470  CAPISTRANO RD  HALF_MOON_BAY_UNINC 94019,37.5063,-122.4848,Under Investigation,0.00,0.01,0,0,0,0
SHU,Shasta,45555,0000017, 01/01/2019,0,SMITH,141,900,30500  Smith Road RD Oak Run 96069,40.7027,-121.8426,Arson,0.00,4.70,0,0,0,0
BEU,Monterey,27555,0000022, 01/01/2019,0,EL BOSQUE,141,960,  EL BOSQUE DR/SUNRIDGE RD  CARMEL_HILL 93953,36.5741,-121.9169,Debris Burning,0.00,0.00,0,0,0,0
RRU,Riverside,33080,0000216, 01/01/2019,0,FLEETWOOD,142,931,1890  Market ST Jurupa Valley 92509,34.0188,-117.6321,Vehicle,0.00,5.90,0,0,0,0
RRU,Riverside,33090,0000006, 01/01/2019,0,BRECHTEL,142,419,32750  BRECHTEL ST Lakeland Village 92530,34.0326,-117.5141,Miscellaneous,250.00,0.01,0,0,0,0
HUU,Humboldt,12555,0000001, 01/01/2019,0,SPROWL,142,931,Camp A S 101 HWY Garberville 95542,40.1011,-123.7972,Under Investigation,0.00,0.12,0,0,0,0
HUU,Humboldt,12555,0000020, 01/01/2019,0,PILOT,142,669,  Pilot Rock  Dinsmore 95526,40.6084,-123.6724,Equipment,0.00,30.00,0,0,0,0
LNU,Napa,28555,0000018, 01/01/2019,0,HWY 128   CALISTOGA_NORTH,143,931,3835  HWY 128  CALISTOGA_NORTH 94515,38.6019,-122.6369,Electrical Power,0.00,0.10,0,0,0,0
RRU,Riverside,33555,0000510, 01/02/2019,0,DELL 2,142,931,2098  20th ST Jurupa Valley 92509,34.0404,-117.6717,Arson,0.00,2.00,0,0,0,0
AEU,El Dorado,09555,0000145, 01/02/2019,0,TOMAHAWK 2,142,400,3135  TOMAHAWK RD Auburn Lake Trails 95614,38.8565,-120.9862,Debris Burning,0.00,0.10,0,0,0,0
MMU,Mariposa,22555,0000114, 01/02/2019,0,SNOW,143,931,5589  SNOW CREEK FALL LUSH_MEADOWS 95338,37.5010,-119.8212,Miscellaneous,0.00,0.12,0,0,0,0
LNU,Lake,17555,0000100, 01/02/2019,0,MORGAN,142,931,18300  MORGAN VALLEY RD LOWER_LAKE 95457,38.9022,-122.5719,Debris Burning,2.00,1.00,0,0,0,0
MEU,Mendocino,23555,0000061, 01/02/2019,0,HWY 162 MP 021.00 COVELO,141,669,  HWY 162 MP 024.44  Covelo 95429,39.7350,-123.2583,Miscellaneous,0.00,0.10,0,0,0,0
RRU,Riverside,33010,0001163, 01/03/2019,0,E 2ND ST MARKETPLACE   BE,143,900,  E 1ST ST/LUNA AV  Beaumont 92223,33.9252,-116.9602,Smoking,0.00,0.01,0,0,0,0
TGU,Tehama,52555,0000113, 01/03/2019,0,KELLY,143,931,3575  KELLY RD Paskenta 96074,39.9019,-122.5718,Debris Burning,0.00,1.07,0,0,0,0
TGU,Tehama,52030,0000122, 01/03/2019,0,FAIRLIE,142,419,22784  FAIRLIE LN ELCAMINO 96035,40.0083,-122.1852,Debris Burning,0.00,0.20,0,0,0,0
RRU,Riverside,33115,0001343, 01/03/2019,0,I 15  N/ WINCHESTER RD OF,143,961,  I 15 NSOWINCHESTER RD OFRP  Temecula 92591,33.4957,-117.1469,Smoking,0.00,0.10,0,0,0,0
HUU,Humboldt,12555,0000089, 01/03/2019,0,MULLEN,143,962,1056  Tim Mullen RD Kneeland 95549,40.7207,-123.9515,Undetermined,0.00,0.50,0,0,0,0
BDU,San Bernardino,36555,0000164, 01/03/2019,0,PIONEERTOWN RD / BALDWIN,141,419,46784  PIONEERTOWN DR BIG_BEAR_LAKE_AREA 92314,34.2663,-116.7817,Campfire,0.00,0.01,0,0,0,0
RRU,Riverside,33034,0001273, 01/03/2019,0,I 15  S/ LIMONITE AV OFRP,143,961,  I 15 SNOLIMONITE AV OFRP  Eastvale 91752,33.9792,-117.5490,Smoking,0.00,0.01,0,0,0,0
MMU,Mariposa,22555,0000271, 01/04/2019,0,OPHIR,143,931,  MT OPHIR RD/HWY 49 N  MT_BULLION 95338,37.5184,-120.0738,Debris Burning,0.00,1.00,0,0,0,0
SLU,San Luis Obispo,40555,0000172, 01/04/2019,0,W FOOTHILL BLVD / OCONNOR,143,936,  W FOOTHILL BLVDS RD SLO_CO 93405,35.2811,-120.7091,Campfire,0.00,1.00,0,0,0,0
AEU,El Dorado,09555,0000472, 01/05/2019,0,50,142,669, W Hwy 50 HWY POLLOCK_PINES 95726,38.7598,-120.5829,Under Investigation,0.00,0.10,0,0,0,0
BDU,San Bernardino,36555,0000241, 01/05/2019,0,SESAME RD / SUMMIT TRUCK,561,419,11242  SESAME RD HESPERIA_AREA 92344,34.5802,-117.6940,Debris Burning,0.00,0.25,0,0,0,0
BDU,San Bernardino,36555,0000257, 01/05/2019,0,BURNS CANYON RD  RIMROCK,142,900,2835  TUMBLE WEED TRL Rimrock 92268,34.1972,-116.5580,Miscellaneous,0.00,0.10,0,0,0,0
RRU,Riverside,33020,0002054, 01/05/2019,0,ORCHARD AV / SHADY LN,143,900,  ORCHARD AV/SHADY LN  Coachella 92236,34.1265,-116.2884,Playing with Fire,0.00,1.00,0,0,0,0
RRU,Riverside,33035,0002051, 01/05/2019,0,COLLIER AV / NICHOLS RD,143,400,  COLLIER AV/NICHOLS RD  Lake Elsinore 92530,0.0000,0.0000,Arson,0.00,1.00,0,0,0,0
RRU,Riverside,33035,0002222, 01/05/2019,0,JOY ST / RIVERSIDE DR,142,931,  JOY ST/RIVERSIDE DR  Lake Elsinore 92530,33.6783,-117.3687,Arson,0.00,0.01,0,0,0,0
BTU,Butte,04035,0000170, 01/05/2019,0,VIRGINIA ST  STH_CHICO,561,419,781  VIRGINIA ST STH_CHICO 95928,39.7235,-121.8198,Debris Burning,0.00,0.01,0,0,0,0
NEU,Placer,31555,0000426, 01/05/2019,0,MORNING,142,931,4060  MORNING STAR PL FORESTHILL_VFD 95631,39.0177,-122.5036,Debris Burning,0.00,0.01,0,0,0,0
RRU,Riverside,33105,0002286, 01/05/2019,0,PORTOLA,142,900,43101  PORTOLA AVE Palm Desert 92260,33.7355,-116.3713,Campfire,100.00,0.01,0,0,0,0
AEU,El Dorado,09555,0000749, 01/07/2019,0,LOCKIE CT  DIAMOND_SPRING,142,000,    City of Placerville 95667,39.1654,-121.3660,Campfire,0.00,0.10,0,0,0,0
BDU,San Bernardino,36555,0000393, 01/08/2019,0,HWY 189  / LAKE GREGORY D,143,961,  Hwy 18  Crestline 92391,34.2287,-117.2501,Undetermined,0.00,0.10,0,0,0,0
RRU,Riverside,33090,0003990, 01/09/2019,0,PICO AV / ELLIS AV,171,419,24155  PICO AVE Nuevo 92585,0.0000,0.0000,Debris Burning,0.00,0.00,0,0,0,0
MVU,San Diego,37555,0000550, 01/11/2019,0,ILLEGAL BURNING,561,962,6989 W LILAC RD Bonsall 92003,32.2894,-117.1760,Miscellaneous,0.00,0.02,0,0,0,0
RRU,Riverside,33090,0005141, 01/11/2019,0,SEELEY,142,419,  SEELEY AVE City of Blythe 92225,33.6057,-114.5833,Undetermined,0.00,1.00,0,0,0,0
BDU,San Bernardino,36555,0000571, 01/12/2019,0,BEEKLEY RD  PHELAN,143,960,10088  BEEKLEY RD Phelan 92371,34.4262,-117.5877,Vehicle,0.00,0.01,0,0,0,0
RRU,Riverside,33035,0005324, 01/12/2019,0,COYOTE COVE LELS,142,931,32040  RIVERSIDE DR Lake Elsinore 92530,33.6717,-117.3728,Campfire,0.00,0.01,0,0,0,0
BTU,Butte,04555,0000504, 01/13/2019,0,COHASSET,141,960,3203  STONEWALL DR NOR_CHICO 95973,39.8247,-121.8402,Vehicle,0.00,0.20,0,0,0,0
AEU,Amador,03555,0001399, 01/14/2019,0,HY 49 BYPASS  / SUTTER IO,143,931,  HY 49 BYPASS/SUTTER IONE RD  SUTTER_CREEK 95640,38.4049,-120.8221,Vehicle,0.00,0.01,0,0,0,0
LMU,Lassen,18555,0000259, 01/14/2019,0,PIT,143,400,641-875  Pitt Canyon Road  Pittville 96056,41.0494,-121.3149,Debris Burning,0.00,9.10,0,0,0,0
BTU,Butte,04035,0000597, 01/15/2019,0,5TH ST  THERMALITO,141,931,1744  5TH ST Thermalito 95965,39.5142,-121.5755,Undetermined,0.00,0.10,0,0,0,0
MMU,Madera,20010,0001176, 01/15/2019,0,N GATEWAY DR /E CENTRAL A,561,946,  N GATEWAY DR/E CENTRAL AV  City of Madera 93637,36.9683,-120.0667,Debris Burning,0.00,0.00,0,0,0,0
BEU,Monterey,27024,0000283, 01/15/2019,0,MONTE,141,900,3600  VIA MAR MONTE  CARMEL_HILL 93923,36.9473,-122.5186,Electrical Power,0.00,0.10,0,0,0,0
RRU,Riverside,33555,0007175, 01/16/2019,0,RED MOUNTAIN RD / BALLING,142,400,43135  COSMO DR Hemet 92544,33.6049,-116.9382,Debris Burning,0.00,0.00,0,0,0,0
CZU,San Mateo,41115,0000562, 01/17/2019,0,CABRILLO HWY   PESCADERO,142,962,10299  CABRILLO HWY Pescadero 94060,37.2150,-122.4064,Electrical Power,10.00,0.01,0,0,0,0
RRU,Riverside,33090,0009311, 01/21/2019,0,JACKSON ST / AIRPORT BL,173,655,  JACKSON ST/AIRPORT BL  Coachella 92274,33.6815,-116.2980,Campfire,0.00,1.00,0,0,0,0
AEU,El Dorado,09555,0002424, 01/24/2019,0,BRIDGEPORT,141,419,3500  BRIDGEPORT SCHOOL RD MT_AUKUM 95629,38.5355,-120.6996,Playing with Fire,0.00,0.00,0,0,0,0
TCU,Calaveras,05555,0001020, 01/24/2019,0,RAINBOW,142,931,18702  RAINBOW RD MT_RANCH 95245,38.2700,-120.5417,Debris Burning,0.00,1.00,0,0,0,0
LNU,Lake,17555,0001610, 01/26/2019,0,MANSION,561,419,20104 S HWY 29  Middletown 95461,38.7688,-122.5868,Debris Burning,0.00,3.00,0,0,0,0
RRU,Riverside,33090,0011667, 01/26/2019,0,CLAY,142,931,  VAN BUREN BL/CLAY ST  Jurupa Valley 92509,33.9667,-117.4630,Campfire,0.00,1.50,0,0,0,0
BDU,San Bernardino,36555,0001289, 01/26/2019,0,DODGE RD  LUCERNE_VALLEY,561,931,28522  SUTTER RD LUCERNE_VALLEY 92356,34.4225,-117.0411,Debris Burning,0.00,0.10,0,0,0,0
RRU,Riverside,33035,0011999, 01/27/2019,0,RIVERSIDE DR / JOY ST,142,931,  RIVERSIDE DR/JOY ST  Lake Elsinore 92530,33.6803,-117.3697,Arson,0.00,0.01,0,0,0,0
RRU,Riverside,33050,0011899, 01/27/2019,0,JACKSON ST / AVE 48,142,931,  JACKSON ST/AVE 48  Indio 92236,33.7003,-116.2164,Campfire,0.00,0.10,0,0,0,0
MMU,Madera,20015,0001989, 01/27/2019,0,GOLDEN STATE BL / AVE 18,142,419,  GOLDEN STATE BL/AVE 18  MADERA_ACRES 93637,37.0167,-120.1251,Railroad,0.00,0.01,0,0,0,0
BDU,San Bernardino,36555,0001370, 01/28/2019,0,SHEEP CREEK RD / PHELAN R,142,931,  Sheep Creek Rd  Phelan 92371,34.4319,-117.5727,Under Investigation,0.00,0.01,0,0,0,0
AEU,Amador,03555,0002848, 01/28/2019,0,SHAKE,143,931,17001  SHAKE RIDGE RD LOCKWOOD 95685,38.4414,-120.7096,Electrical Power,0.00,0.01,0,0,0,0
MEU,Mendocino,23555,0001207, 01/29/2019,0,GOAT,142,NNN,3480  GOAT ROCK RD MCNAB_RANCH 95482,39.0183,-123.2003,Debris Burning,0.00,0.25,0,0,0,0
BEU,Monterey,27555,0000599, 01/30/2019,0,CHULAR,142,931,30445  CHUALAR CANYON RD MC_REGIONAL 93925,33.6107,-121.4144,Miscellaneous,0.00,3.50,0,0,0,0
AEU,Amador,03555,0003123, 01/31/2019,0,BLACK OAK,142,400,20100  BLACK OAK DR Fiddletown 95689,38.4886,-120.6577,Debris Burning,1.00,0.75,0,0,0,0
RRU,Riverside,33090,0014429, 02/01/2019,0,RIDGEVIEW TER / VIA SANTI,142,419,  RIDGEVIEW TER/VIA SANTIAGO  Corona 92882,33.8789,-117.6073,Campfire,0.00,0.10,0,0,0,0
FKU,Fresno,10555,0001617, 02/04/2019,0,CRUMP,142,931,  HWY 198/CRUMP LN  Coalinga 93210,36.1909,-120.9527,Electrical Power,0.00,0.01,0,0,0,0
MVU,San Diego,37555,0001715, 02/04/2019,0,MUSSEY GRADE RD  RAMONA 8,142,400,15046  MUSSEY GRADE RD Ramona Census Design 92065,33.0242,-116.8520,Debris Burning,0.00,0.05,0,0,0,0
RRU,Riverside,33090,0016375, 02/05/2019,0,66,142,931,  AVE 66  Mecca 92274,33.5696,-116.0859,Arson,0.00,3.00,0,0,0,0
RRU,Riverside,33090,0017181, 02/07/2019,0,AVE 66   MECC,142,936,91562  AVE 66  Mecca 92254,0.0000,0.0000,Arson,0.00,0.01,0,0,0,0
SLU,San Luis Obispo,40555,0001745, 02/07/2019,0,RIDGE RD / CARBON CANYON,561,400,1355  SANTA RITA RD Templeton 93465,35.6859,-120.6764,Debris Burning,0.00,0.10,0,0,0,0
SCU,Santa Clara,43045,0000856, 02/07/2019,0,MADRONE AV / DOUGHERTY AV,561,419,514  DOUGHERTY AVE S_SAN_JOSE 95037,37.2658,-122.1392,Debris Burning,0.00,0.00,0,0,0,0
BDU,San Bernardino,36555,0001943, 02/08/2019,0,LA MESA RD  PINION_HILLS,142,419,1425  LA MESA RD PINION_HILLS 92372,34.4852,-117.6220,Undetermined,"10,000.00",0.10,0,0,0,0
