Month,Kings_windeventcount,Kings_average_mph,Kings_average_wind_run_miles,Kern_windeventcount,Kern_average_mph,Kern_average_wind_run_miles,Fresno_windeventcount,Fresno_average_mph,Fresno_average_wind_run_miles,Merced_windeventcount,Merced_average_mph,Merced_average_wind_run_miles,Tulare_windeventcount,Tulare_average_mph,Tulare_average_wind_run_miles,Madera_windeventcount,Madera_average_mph,Madera_average_wind_run_miles
2008-10,0,4.164,99.672,0,3.483870968,83.3483871,0,3.667741935,87.82580645,3,4.874193548,116.8612903,0,2.764516129,66.22903226,0,3.667741935,87.82580645
2008-11,0,3.973333333,95.33666667,0,2.956666667,70.93,0,3.106666667,74.49,0,3.45,83.18333333,0,2.046666667,49.17666667,0,3.106666667,74.49
2008-12,0,4.164516129,99.84193548,0,3.080645161,73.77741935,0,3.306451613,79.31290323,0,5.53,132.52,0,2.129032258,51.18387097,0,3.306451613,79.31290323
2009-01,0,3.322580645,79.47741935,0,2.935483871,70.32903226,0,2.587096774,62.01935484,0,3.706451613,88.96451613,0,1.932258065,46.45806452,0,2.587096774,62.01935484
2009-02,0,4.771428571,114.475,0,3.842857143,92.10714286,0,3.928571429,94.09642857,4,5.657142857,135.8964286,0,2.817857143,67.55,0,3.928571429,94.09642857
2009-03,2,6.180645161,148.4774194,0,3.958064516,94.9516129,1,4.680645161,112.2741935,6,6.64516129,159.3580645,0,3.264516129,78.25483871,1,4.680645161,112.2741935
2009-04,3,6.54,157,1,4.686666667,112.5833333,2,5.55,133.32,9,8.19,196.8466667,0,3.756666667,90.10333333,2,5.55,133.32
2009-05,2,6.858064516,164.6419355,0,3.874193548,92.90645161,0,5.880645161,141.0967742,7,8.290322581,198.8032258,0,3.393548387,81.49677419,0,5.880645161,141.0967742
2009-06,0,5.856666667,140.66,0,3.93,94.16333333,0,5.753333333,138.1733333,2,7.73,185.4166667,0,3.886666667,93.34333333,0,5.753333333,138.1733333
2009-07,0,5.861290323,140.7870968,0,3.548387097,85.0516129,0,5.267741935,126.5548387,0,5.977419355,143.4774194,0,3.086666667,74.08,0,5.267741935,126.5548387
2009-08,0,5.196774194,124.8225806,0,3.438709677,82.66774194,0,4.574193548,109.8129032,0,5.574193548,133.8774194,0,4.016666667,95.88333333,0,4.574193548,109.8129032
2009-09,0,5,120.0666667,0,3.223333333,77.24,0,4.29,103.0666667,1,5.726666667,137.6566667,0,3.240909091,77.81363636,0,4.29,103.0666667
2009-10,3,5.293548387,127.1258065,1,3.493548387,84.00967742,2,4.235483871,101.5,4,6.432258065,154.4806452,0,2.787096774,66.83225806,2,4.235483871,101.5
2009-11,0,4.36,104.6533333,0,2.773333333,66.65,0,3.11,74.55666667,2,4.526666667,108.42,0,2.613333333,62.68333333,0,3.11,74.55666667
2009-12,1,4.2,100.7290323,0,2.777419355,66.82903226,1,3.716129032,89.17419355,1,4.6,110.4862069,0,2.548387097,61.29677419,1,3.716129032,89.17419355
2010-01,1,4.490322581,107.7322581,0,3.222580645,77.28387097,1,3.990322581,95.83548387,3,5.863636364,140.6636364,0,2.938709677,70.45806452,1,3.990322581,95.83548387
2010-02,0,3.917857143,94.11785714,0,3.210714286,76.66428571,0,3.421428571,82.34642857,0,5.5125,132.6,0,2.953571429,70.80357143,0,3.421428571,82.34642857
2010-03,1,5.15483871,123.8451613,0,3.551612903,85.34193548,0,4.435483871,106.5258065,2,6.336,152.016,0,3.422580645,82.07741935,0,4.435483871,106.5258065
2010-04,0,6.08,146.1166667,0,3.976666667,95.41,0,4.91,117.9266667,2,6.793333333,163.1633333,0,3.593333333,86.15333333,0,4.91,117.9266667
2010-05,4,6.98,167.5033333,0,4.164516129,100.0806452,2,5.822580645,139.7032258,5,8.119354839,194.6193548,0,3.725806452,89.52580645,2,5.822580645,139.7032258
2010-06,2,7.096666667,170.16,0,3.996666667,96.04,1,6.503333333,156.14,7,8.536666667,204.7833333,0,3.343333333,80.05333333,1,6.503333333,156.14
2010-07,0,5.65,135.6807692,0,3.390322581,81.3516129,0,5.016129032,120.3806452,1,6.541935484,157.0032258,0,3.05483871,73.18387097,0,5.016129032,120.3806452
2010-08,0,5.367741935,129.0290323,0,3.348387097,80.2,0,4.616129032,110.6548387,1,6.022580645,144.6354839,0,3.080645161,73.86451613,0,4.616129032,110.6548387
2010-09,0,4.666666667,112.12,0,2.756666667,66.2,0,3.893333333,93.31666667,2,5.31,127.3833333,0,2.76,66.16666667,0,3.893333333,93.31666667
2010-10,0,4.84516129,115.9354839,0,2.806451613,67.41612903,0,3.764516129,90.5516129,1,4.405263158,105.8,0,2.806451613,67.5,0,3.764516129,90.5516129
2010-11,0,3.856666667,92.54666667,0,2.643333333,63.38333333,0,3.286666667,78.96666667,0,3.863333333,92.61333333,0,2.383333333,57.02666667,0,3.286666667,78.96666667
2010-12,0,3.903225806,93.62580645,0,2.538709677,60.90322581,0,3.606451613,86.69354839,3,5.686363636,136.4136364,0,2.422580645,58.38709677,0,3.606451613,86.69354839
2011-01,0,3.274193548,78.7,0,2.261290323,54.38387097,0,2.903225806,69.55483871,1,3.783870968,90.83548387,0,2.216129032,53.35806452,0,2.903225806,69.55483871
2011-02,0,4.346428571,104.3357143,0,2.925,70.13928571,0,3.814285714,91.525,4,5.303571429,127.2964286,0,2.842857143,68.15,0,3.814285714,91.525
2011-03,0,4.403225806,105.6290323,0,3.606666667,86.40666667,0,4.9,117.6774194,5,6.758064516,162.2645161,0,3.429032258,82.1516129,0,4.9,117.6774194
2011-04,0,4.22,101.3733333,0,4.017391304,96.48695652,0,5.303333333,127.32,4,7.503333333,180.1366667,0,3.475,83.2,0,5.303333333,127.32
2011-05,2,6.412903226,153.8451613,0,3.964516129,95.30645161,1,5.835483871,139.9258065,7,8.7,208.7806452,0,3.606666667,86.45333333,1,5.835483871,139.9258065
2011-06,0,5.793333333,139.0766667,0,3.94,94.44,0,5.45,130.55,4,7.98,191.6,0,3.21,76.88333333,0,5.45,130.55
2011-07,0,5.958064516,142.9741935,0,3.632258065,87.10645161,0,5.335483871,128,0,6.641935484,159.3903226,0,3.139285714,75.15357143,0,5.335483871,128
2011-08,0,5.003225806,120.2032258,0,3.212903226,77.11612903,0,4.34516129,104.3225806,0,5.351612903,128.5322581,0,2.956666667,71.2,0,4.34516129,104.3225806
2011-09,0,4.763333333,114.2566667,0,3.153333333,75.57333333,0,3.953333333,94.94,0,5.006666667,119.9766667,0,3.08,74.08666667,0,3.953333333,94.94
2011-10,0,4.158064516,99.87096774,0,2.861290323,68.72258065,0,3.329032258,79.86451613,0,4.203225806,100.8580645,0,2.666666667,63.85,0,3.329032258,79.86451613
2011-11,0,4.016666667,96.43,0,3.606666667,86.59,0,3.386666667,81.37,1,4.353333333,104.5266667,0,2.62,63.06666667,0,3.386666667,81.37
2011-12,1,3.406451613,81.77741935,0,2.848387097,68.4,1,2.835483871,68.10967742,1,3.722580645,89.33870968,0,2.374193548,57.0483871,1,2.835483871,68.10967742
2012-01,0,4.003225806,96.11612903,0,2.885714286,69.04642857,0,3.280645161,78.9483871,2,4.45483871,107.2064516,0,2.693548387,64.67096774,0,3.280645161,78.9483871
2012-02,1,5.031034483,120.8793103,1,3.9375,94.7,1,4.079310345,98.20689655,2,5.655172414,135.6034483,0,3.086206897,74.15862069,1,4.079310345,98.20689655
2012-03,2,5.667741935,136.0483871,0,4.058064516,97.50967742,1,4.95483871,118.7193548,2,5.983870968,143.7709677,0,3.577419355,85.67741935,1,4.95483871,118.7193548
2012-04,3,6.36,152.7666667,0,4.033333333,96.74666667,1,5.076666667,121.8333333,5,6.823333333,163.65,0,3.636666667,87.26,1,5.076666667,121.8333333
2012-05,2,6.935483871,166.2419355,0,4.358064516,104.4032258,2,6.025806452,144.4225806,8,8.116129032,194.9709677,0,3.351612903,80.40645161,2,6.025806452,144.4225806
2012-06,5,7.33,175.6,0,4.723333333,113.4,3,6.72,161.1533333,4,7.623333333,182.9866667,0,3.55,85.39333333,3,6.72,161.1533333
2012-07,0,5.55483871,133.3387097,0,4.032258065,96.68709677,0,4.9,117.5870968,2,6.125806452,146.9967742,0,3.425806452,82.17096774,0,4.9,117.5870968
2012-08,0,5.451612903,130.8290323,0,3.706451613,88.91612903,0,4.448387097,106.8806452,0,4.593548387,110.2612903,0,3.222580645,77.36451613,0,4.448387097,106.8806452
2012-09,0,4.58,109.8066667,0,3.396666667,81.66333333,0,3.536666667,84.97333333,0,3.696666667,88.57,0,2.953333333,70.88,0,3.536666667,84.97333333
2012-10,0,4.335483871,104.3064516,0,3.461290323,83.15483871,0,3.641935484,87.47741935,0,4.067741935,97.56129032,0,2.8,66.87419355,0,3.641935484,87.47741935
2012-11,0,3.86,92.69,0,3.077777778,73.97037037,0,3.376666667,81.09333333,0,3.416666667,81.82333333,0,2.493333333,59.7,0,3.376666667,81.09333333
2012-12,1,5.058064516,121.4387097,0,3.093548387,74.17419355,0,4.319354839,103.8354839,1,4.761290323,114.4709677,0,1.819354839,43.70645161,0,4.319354839,103.8354839
2013-01,0,3.912903226,93.7,0,2.916129032,70.40967742,0,3.183870968,76.41612903,0,2.867741935,68.88387097,0,2.851612903,68.30967742,0,3.183870968,76.41612903
2013-02,0,4.375,105.0821429,0,3.410714286,82.00357143,0,3.417857143,82.05714286,1,4.235714286,101.9428571,0,3.014285714,72.1,0,3.417857143,82.05714286
2013-03,2,5.222580645,125.3709677,0,3.732258065,89.32258065,0,4.306451613,103.3129032,2,5.119354839,122.7483871,0,3.329032258,79.68709677,0,4.306451613,103.3129032
2013-04,6,7.47,179.2666667,0,4.293333333,103.16,1,5.423333333,130.03,10,8.71,208.95,0,3.673333333,88.24666667,1,5.423333333,130.03
