feature,window_size,rmse
FIRE_Acres_Burned,1,2.6539845
FIRE_Acres_Burned,3,2.352462
FIRE_Acres_Burned,6,1.7847663
FIRE_Acres_Burned,8,1.5211816
FIRE_Acres_Burned,12,1.3274691
PRECIP,1,2.7533033
PRECIP,3,2.8024118
PRECIP,6,2.754785
PRECIP,8,1.9657017
PRECIP,12,1.0284381
WIND_EventCount,1,2.8609464
WIND_EventCount,3,2.8802297
WIND_EventCount,6,2.8392272
WIND_EventCount,8,2.76001
WIND_EventCount,12,2.6441886
WIND_AvgMPH,1,2.8220482
WIND_AvgMPH,3,2.7475324
WIND_AvgMPH,6,2.6933053
WIND_AvgMPH,8,2.44413
WIND_AvgMPH,12,2.2276022
WIND_RunMiles,1,2.7952547
WIND_RunMiles,3,2.7799408
WIND_RunMiles,6,2.696173
WIND_RunMiles,8,2.5176454
WIND_RunMiles,12,3.0796263
AQI_PM25,1,2.72495
AQI_PM25,3,2.7598891
AQI_PM25,6,3.1145625
AQI_PM25,8,3.1688228
AQI_PM25,12,3.025216
AQI_PM10,1,2.7466824
AQI_PM10,3,2.7158594
AQI_PM10,6,2.8887863
AQI_PM10,8,2.4717753
AQI_PM10,12,1.5714481
EARTHQUAKE_Total,1,2.7501814
EARTHQUAKE_Total,3,2.7417305
EARTHQUAKE_Total,6,2.7894838
EARTHQUAKE_Total,8,2.7457952
EARTHQUAKE_Total,12,2.3409948
PESTICIDE_Total,1,2.7901862
PESTICIDE_Total,3,2.774208
PESTICIDE_Total,6,2.8536048
PESTICIDE_Total,8,2.631001
PESTICIDE_Total,12,1.9689105
