feature,window_size,rmse
FIRE_Acres_Burned,1,7.352831
FIRE_Acres_Burned,3,7.422334
FIRE_Acres_Burned,6,7.861679
FIRE_Acres_Burned,8,8.118218
FIRE_Acres_Burned,12,8.377858
PRECIP,1,7.677731
PRECIP,3,8.017467
PRECIP,6,7.372321
PRECIP,8,6.639869
PRECIP,12,4.205478
WIND_EventCount,1,7.73218
WIND_EventCount,3,8.4467325
WIND_EventCount,6,9.949474
WIND_EventCount,8,11.838489
WIND_EventCount,12,11.969176
WIND_AvgMPH,1,8.830259
WIND_AvgMPH,3,8.097465
WIND_AvgMPH,6,10.475324
WIND_AvgMPH,8,8.894446
WIND_AvgMPH,12,10.316584
WIND_RunMiles,1,8.712028
WIND_RunMiles,3,9.524821
WIND_RunMiles,6,10.768816
WIND_RunMiles,8,9.008678
WIND_RunMiles,12,10.62227
AQI_PM25,1,7.627967
AQI_PM25,3,8.2780075
AQI_PM25,6,22.04755
AQI_PM25,8,18.394424
AQI_PM25,12,20.361547
AQI_PM10,1,6.7498217
AQI_PM10,3,6.3298182
AQI_PM10,6,9.006585
AQI_PM10,8,23.976336
AQI_PM10,12,35.116917
EARTHQUAKE_Total,1,7.499956
EARTHQUAKE_Total,3,7.6489143
EARTHQUAKE_Total,6,8.40817
EARTHQUAKE_Total,8,9.186325
EARTHQUAKE_Total,12,8.763527
PESTICIDE_Total,1,7.3003235
PESTICIDE_Total,3,8.191013
PESTICIDE_Total,6,12.639778
PESTICIDE_Total,8,13.80937
PESTICIDE_Total,12,14.077235
