YearMonth,Fresno_PM25,Fresno_PM10,Kings_PM10,Kings_PM25,Madera_PM25,Madera_PM10,Merced_PM10,Merced_PM25,Tulare_PM25,Tulare_PM10
2008-10,68.81818181818181,72.0,87.11111111111111,58.4,,,58.0,61.2,57.9,
2008-11,103.5,,,77.30357142857143,,,,83.77777777777777,106.51851851851852,
2008-12,93.0,,,64.7457627118644,,,37.0,75.3,87.70370370370371,
2009-01,107.70967741935483,,,83.36065573770492,,,31.0,92.36363636363636,100.23333333333333,
2009-02,64.77777777777777,,,61.75555555555555,,,,55.166666666666664,70.5625,
2009-03,55.15384615384615,,65.0,58.361702127659576,,,,59.8,63.68421052631579,
2009-04,51.4,,63.0,49.625,,,,,54.8,
2009-05,47.0,,,47.78125,,,,58.0,50.666666666666664,
2009-06,46.4,,41.0,44.21212121212121,,,,,49.0,
2009-07,54.5,,,52.416666666666664,,,,,68.0,
2009-08,46.75,,61.0,54.45238095238095,,,,,,
2009-09,48.25,,67.0,37.973684210526315,,,,,,
2009-10,66.64,,122.5,58.333333333333336,,,,48.27272727272727,75.10526315789474,57.5
2009-11,85.96428571428571,,,68.0,,,,77.33333333333333,84.6,
2009-12,103.6,,,74.23333333333333,,,,90.0,91.67857142857143,
2010-01,82.89285714285714,,,68.91803278688525,,,,73.53571428571429,71.52173913043478,
2010-02,69.81481481481481,,,62.60377358490566,,,,66.60714285714286,72.0952380952381,
2010-03,57.857142857142854,,,54.62903225806452,,,,59.1,56.523809523809526,
2010-04,54.357142857142854,,,53.25,,,,55.95238095238095,62.95,
2010-05,52.6,,,50.244897959183675,,,,50.8,57.0,
2010-06,52.0,,,53.2093023255814,,,,52.166666666666664,50.666666666666664,
2010-07,73.33333333333333,,,56.09090909090909,68.25,,,67.0,,
2010-08,54.6,,,48.89473684210526,62.3125,,,52.0,,
2010-09,51.666666666666664,,,44.921052631578945,58.916666666666664,,31.0,56.5,49.5,
2010-10,62.76190476190476,,92.0,53.30909090909091,71.0625,44.0,28.0,68.5,63.73684210526316,
2010-11,86.43333333333334,,,66.08771929824562,88.6875,,49.0,73.07692307692308,77.67857142857143,
2010-12,85.58064516129032,,,66.24137931034483,96.6,,,80.41666666666667,77.33333333333333,
2011-01,93.16129032258064,,,72.66129032258064,97.35483870967742,,,86.6774193548387,86.29032258064517,
2011-02,70.3076923076923,,,63.6,67.48148148148148,,,65.48,69.57142857142857,
2011-03,57.19047619047619,,,48.23076923076923,59.629629629629626,,,54.36,61.21739130434783,
2011-04,54.31578947368421,,54.0,50.0,56.96296296296296,,,57.80952380952381,57.9,
2011-05,55.625,,,43.794117647058826,55.285714285714285,,,48.625,51.25,
2011-06,58.5,,,51.83783783783784,60.8125,,,55.45454545454545,53.0,
2011-07,56.142857142857146,,,55.4375,62.0,,,50.5,,
2011-08,56.0,,,45.52777777777778,62.09090909090909,,,54.5,,
2011-09,61.0,,,42.0,63.0,,,57.333333333333336,77.5,
2011-10,75.23809523809524,,56.0,59.472727272727276,71.11111111111111,,,65.75,77.4375,
2011-11,82.66666666666667,,88.33333333333333,60.875,72.11111111111111,74.66666666666667,,59.55172413793103,74.53571428571429,
2011-12,135.32258064516128,,,88.70967741935483,121.12903225806451,,,100.61290322580645,116.64516129032258,
2012-01,118.58064516129032,,,80.09836065573771,98.03225806451613,,19.0,82.56666666666666,110.32142857142857,
2012-02,65.44827586206897,,51.0,59.535714285714285,62.44827586206897,,,53.666666666666664,64.84,
