Month,Fire Incident Count,VF Case Count
2006-01,0,19
2006-02,0,13
2006-03,0,12
2006-04,0,4
2006-05,0,5
2006-06,0,15
2006-07,0,7
2006-08,0,19
2006-09,0,28
2006-10,46,29
2006-11,27,22
2006-12,20,23
2007-01,17,25
2007-02,13,19
2007-03,18,15
2007-04,40,8
2007-05,88,11
2007-06,67,14
2007-07,14,18
2007-08,11,16
2007-09,5,6
2007-10,1,6
2007-11,2,10
2007-12,0,24
2008-01,1,9
2008-02,0,11
2008-03,0,13
2008-04,3,14
2008-05,11,15
2008-06,23,21
2008-07,13,18
2008-08,32,26
2008-09,3,13
2008-10,5,22
2008-11,1,12
2008-12,0,26
2009-01,0,16
2009-02,0,19
2009-03,0,16
2009-04,3,14
2009-05,22,20
2009-06,31,32
2009-07,15,26
2009-08,4,23
2009-09,2,16
2009-10,1,18
2009-11,1,13
2009-12,0,16
2010-01,0,10
2010-02,14,11
2010-03,1,7
2010-04,1,8
2010-05,7,6
2010-06,16,11
2010-07,20,21
2010-08,12,12
2010-09,4,25
2010-10,1,38
2010-11,1,25
2010-12,0,20
2011-01,0,10
2011-02,0,2
2011-03,0,4
2011-04,1,6
2011-05,2,3
2011-06,8,7
2011-07,18,11
2011-08,7,17
2011-09,11,18
2011-10,2,23
2011-11,1,18
2011-12,2,9
2012-01,2,13
2012-02,0,14
2012-03,4,12
2012-04,0,20
2012-05,2,9
2012-06,10,16
2012-07,7,13
2012-08,5,15
2012-09,4,11
2012-10,3,10
2012-11,1,6
2012-12,0,16
2013-01,0,14
2013-02,0,5
2013-03,0,4
2013-04,5,6
2013-05,11,13
2013-06,5,14
2013-07,11,12
2013-08,13,7
2013-09,8,9
2013-10,1,8
2013-11,2,9
2013-12,4,12
2014-01,3,12
2014-02,1,8
2014-03,4,5
2014-04,2,6
2014-05,3,13
2014-06,6,8
2014-07,14,11
2014-08,5,9
2014-09,3,7
2014-10,1,14
2014-11,3,10
2014-12,0,4
2015-01,0,7
2015-02,0,2
2015-03,3,13
2015-04,4,6
2015-05,11,14
2015-06,15,5
2015-07,22,15
2015-08,11,4
2015-09,2,13
2015-10,5,15
2015-11,0,13
2015-12,0,5
