feature,window_size,rmse
FIRE_Acres_Burned,1,2.6530726
FIRE_Acres_Burned,3,2.303777
FIRE_Acres_Burned,6,1.8774211
FIRE_Acres_Burned,8,1.4895748
FIRE_Acres_Burned,12,1.3936006
PRECIP,1,2.7448347
PRECIP,3,2.796109
PRECIP,6,2.7011454
PRECIP,8,2.2258284
PRECIP,12,0.9860959
WIND_EventCount,1,2.8467405
WIND_EventCount,3,2.885946
WIND_EventCount,6,2.8585699
WIND_EventCount,8,2.8007743
WIND_EventCount,12,2.6924338
WIND_AvgMPH,1,2.8251622
WIND_AvgMPH,3,2.7183387
WIND_AvgMPH,6,2.6757467
WIND_AvgMPH,8,2.4900064
WIND_AvgMPH,12,2.1880717
WIND_RunMiles,1,2.8243222
WIND_RunMiles,3,2.7411008
WIND_RunMiles,6,2.7168643
WIND_RunMiles,8,2.494878
WIND_RunMiles,12,5.352648
AQI_PM25,1,2.7156234
AQI_PM25,3,2.7813678
AQI_PM25,6,3.1521535
AQI_PM25,8,3.1707485
AQI_PM25,12,3.0934668
AQI_PM10,1,2.7627873
AQI_PM10,3,2.7221766
AQI_PM10,6,2.9842103
AQI_PM10,8,2.5047264
AQI_PM10,12,1.3992373
EARTHQUAKE_Total,1,2.7771719
EARTHQUAKE_Total,3,2.729694
EARTHQUAKE_Total,6,2.8596447
EARTHQUAKE_Total,8,2.7267554
EARTHQUAKE_Total,12,2.2314022
PESTICIDE_Total,1,2.778744
PESTICIDE_Total,3,2.7715156
PESTICIDE_Total,6,2.8783162
PESTICIDE_Total,8,2.6242929
PESTICIDE_Total,12,2.1925128
All Features,1,2.7672272
All Features,3,2.4713695
All Features,6,1.7504689
All Features,8,1.5626131
All Features,12,0.8839789
