feature,window_size,rmse
FIRE_Acres_Burned,1,7.3696723
FIRE_Acres_Burned,3,7.4568086
FIRE_Acres_Burned,6,7.879544
FIRE_Acres_Burned,8,8.126264
FIRE_Acres_Burned,12,8.377578
PRECIP,1,7.695605
PRECIP,3,8.193814
PRECIP,6,8.293466
PRECIP,8,6.266477
PRECIP,12,4.406457
WIND_EventCount,1,7.6919475
WIND_EventCount,3,8.45032
WIND_EventCount,6,10.39496
WIND_EventCount,8,11.3832
WIND_EventCount,12,13.362349
WIND_AvgMPH,1,8.885399
WIND_AvgMPH,3,8.538527
WIND_AvgMPH,6,9.5148115
WIND_AvgMPH,8,8.8484745
WIND_AvgMPH,12,10.3316555
WIND_RunMiles,1,8.853889
WIND_RunMiles,3,8.401717
WIND_RunMiles,6,9.887379
WIND_RunMiles,8,9.253403
WIND_RunMiles,12,10.478396
AQI_PM25,1,7.630612
AQI_PM25,3,8.440823
AQI_PM25,6,20.47619
AQI_PM25,8,22.7169
AQI_PM25,12,20.060122
AQI_PM10,1,6.5431685
AQI_PM10,3,5.9087505
AQI_PM10,6,12.599927
AQI_PM10,8,20.578781
AQI_PM10,12,38.10819
EARTHQUAKE_Total,1,7.5497327
EARTHQUAKE_Total,3,7.6108885
EARTHQUAKE_Total,6,8.625726
EARTHQUAKE_Total,8,9.332909
EARTHQUAKE_Total,12,8.767595
PESTICIDE_Total,1,7.314729
PESTICIDE_Total,3,8.292968
PESTICIDE_Total,6,14.212971
PESTICIDE_Total,8,15.101213
PESTICIDE_Total,12,13.880136
