YearMonth,Fresno_FIRE_Acres_Burned,Kings_FIRE_Acres_Burned,Madera_FIRE_Acres_Burned,Merced_FIRE_Acres_Burned,Tulare_FIRE_Acres_Burned
2008-10,165.91,0.0,16.96,15.68,3.1
2008-11,18.3,1.0,5.25,4.53,2.0
2008-12,1.0,0.0,0.0,0.0,0.0
2009-01,1.0,0.0,0.25,1.11,0.0
2009-02,28.1,0.0,0.51,0.01,0.0
2009-03,15.51,0.0,3.1,7.0600000000000005,0.0
2009-04,79.05,0.0,6.51,45.3,0.85
2009-05,61.37,0.0,123.65,82.93,479.8
2009-06,151.7,0.0,58.09,87.4,290.85
2009-07,282.33,0.0,378.84000000000003,57.050000000000004,110.24
2009-08,39.12,0.0,80.77,55.89,4.6
2009-09,126.58,0.1,188.03,26.759999999999998,4.95
2009-10,21.82,0.0,8.05,15.53,1.0
2009-11,8.35,0.0,1.75,5.859999999999999,0.1
2009-12,6.01,0.0,1.11,0.1,0.0
2010-01,1.0,0.0,0.0,2.1,0.0
2010-02,1.0,0.0,0.0,0.0,0.14
2010-03,2.3,0.0,0.11,4.3,0.1
2010-04,1.6,0.0,3.3,0.7,1.0
2010-05,263.1,0.0,18.73,83.23,4.6
2010-06,1142.24,0.0,153.63,977.0,112.6
2010-07,362.92,0.0,140.22,508.27000000000004,362.5
2010-08,188.62,0.0,47.25,132.44,894.01
2010-09,52.21,0.0,35.51,151.22,243.0
2010-10,18.45,0.0,13.97,70.3,58.0
2010-11,5.5600000000000005,0.0,5.45,0.51,1.0
2010-12,1.0,0.0,0.01,1.04,0.0
2011-01,2.01,0.0,1.0,0.01,0.0
2011-02,3.11,0.0,0.02,0.8,0.0
2011-03,10.75,0.0,1.26,0.0,0.0
2011-04,26.46,0.0,7.28,6.39,0.2
2011-05,578.13,0.0,23.560000000000002,145.04,60.15
2011-06,495.27,1.0,108.43,344.25,11.29
2011-07,345.02,1.0,598.5500000000001,466.9,60.519999999999996
2011-08,134.93,0.0,97.86999999999999,53.11,2.41
2011-09,404.53999999999996,46.0,73.03999999999999,12.32,1126.5
2011-10,60.32,0.0,22.74,14.120000000000001,190.05
2011-11,20.87,0.0,1.41,3.37,0.1
2011-12,65.55,0.0,8.78,17.11,0.04
2012-01,36.22,0.0,4.66,5.35,25.1
2012-02,23.31,0.0,2.2600000000000002,8.35,0.0
2012-03,100.12,0.0,4.85,9.27,0.67
2012-04,15.1,0.0,2.3200000000000003,9.55,0.0
2012-05,175.92,1.0,31.71,794.9000000000001,0.45
2012-06,620.3000000000001,45.0,62.019999999999996,42.8,3.25
2012-07,231.57,0.0,102.87,142.62,21.67
2012-08,252.35,5.0,34.949999999999996,48.61,3.25
2012-09,31.5,1.0,84.34,18.3,95.1
2012-10,12.1,0.0,7.5200000000000005,7.5,12.9
2012-11,107.2,0.0,32.6,9.05,15.0
2012-12,2.0,0.0,0.2,1.2000000000000002,0.0
2013-01,0.35,0.0,1.1,2.2,0.0
2013-02,3.2,0.0,0.18,0.9,0.0
2013-03,7.92,0.0,1.33,103.6,0.0
2013-04,244.64000000000001,0.0,203.41,12.0,20.2
2013-05,84.35,1.0,66.19,754.16,426.85
2013-06,359.36,4.5,666.82,178.7,21.62
2013-07,294.23,0.0,178.15,39.04,12.620000000000001
2013-08,181.62,0.0,106.35,160.64000000000001,48.59
2013-09,20.5,0.0,10.98,8.0,9.5
2013-10,7.9,0.25,218.14999999999998,33.79,1.0
2013-11,7.78,0.0,6.92,109.37,0.55
2013-12,5.9,0.0,5.7,9.4,1.3
2014-01,142.04,0.0,10.36,8.65,2.3000000000000003
2014-02,3.2,0.0,0.2,40.1,0.1
2014-03,10.8,0.0,4.25,113.85,1.55
2014-04,5.87,0.0,34.66,7.0,0.30000000000000004
2014-05,31.9,0.0,12.9,32.16,2.05
2014-06,87.7,5.0,9.83,442.43,21.200000000000003
2014-07,27.1,0.5,166.0,972.8,124.52000000000001
2014-08,99.65,0.0,625.76,14.82,159.6
2014-09,12.14,0.0,76.09,6.5,8.7
2014-10,14.55,0.0,0.8,36.49,0.13
2014-11,0.2,0.0,0.0,0.15000000000000002,0.03
2014-12,2.1,0.0,1.03,0.01,0.0
2015-01,2.0,0.0,1.4500000000000002,1.0,0.0
2015-02,1.11,0.0,0.0,1.47,0.0
2015-03,7.77,0.0,103.96000000000001,7.15,0.12
2015-04,14.92,0.0,49.87,88.13000000000001,11.42
2015-05,147.38,0.0,29.28,784.59,42.21
2015-06,229.48,0.0,1132.52,21.41,21.63
2015-07,422.7,1.97,47.1,75.05,609.51
2015-08,28.16,0.0,30.48,34.49,12.379999999999999
2015-09,211.66,0.0,38.160000000000004,102.86000000000001,12.65
2015-10,14.99,0.0,8.02,8.28,38.21
2015-11,31.47,0.0,2.6,3.89,0.0
2015-12,0.63,0.0,3.36,1.32,0.0
